"Date","Price","Open","High","Low","Vol.","Change %"
"08/14/2025","0.3868","0.4162","0.4225","0.3792","36.14M","-7.00%"
"08/13/2025","0.4159","0.3927","0.4184","0.3891","39.20M","6.04%"
"08/12/2025","0.3922","0.3699","0.3938","0.3637","22.66M","6.16%"
"08/11/2025","0.3694","0.3898","0.3993","0.3671","22.44M","-5.52%"
"08/10/2025","0.3910","0.3873","0.3947","0.3776","22.42M","0.97%"
"08/09/2025","0.3873","0.3783","0.3920","0.3772","23.80M","2.61%"
"08/08/2025","0.3774","0.3719","0.3802","0.3677","20.25M","1.44%"
"08/07/2025","0.3721","0.3588","0.3732","0.3569","15.71M","3.66%"
"08/06/2025","0.3589","0.3563","0.3638","0.3488","19.24M","0.64%"
"08/05/2025","0.3567","0.3675","0.3681","0.3483","21.86M","-2.94%"
"08/04/2025","0.3675","0.3577","0.3698","0.3563","16.39M","2.80%"
"08/03/2025","0.3574","0.3527","0.3636","0.3488","12.69M","1.55%"
"08/02/2025","0.3520","0.3590","0.3646","0.3452","22.30M","-1.82%"
"08/01/2025","0.3585","0.3689","0.3711","0.3504","32.15M","-2.84%"
"07/31/2025","0.3690","0.3887","0.3950","0.3673","21.92M","-5.10%"
"07/30/2025","0.3888","0.3942","0.3963","0.3717","25.57M","-1.46%"
"07/29/2025","0.3946","0.3940","0.4085","0.3845","24.33M","-0.13%"
"07/28/2025","0.3951","0.4239","0.4303","0.3920","32.02M","-6.89%"
"07/27/2025","0.4243","0.4135","0.4268","0.4128","20.28M","2.60%"
"07/26/2025","0.4135","0.4129","0.4208","0.4095","16.02M","0.23%"
"07/25/2025","0.4126","0.4050","0.4128","0.3918","29.07M","1.77%"
"07/24/2025","0.4054","0.4117","0.4192","0.3894","36.93M","-1.60%"
"07/23/2025","0.4120","0.4423","0.4467","0.4029","35.86M","-7.06%"
"07/22/2025","0.4433","0.4479","0.4487","0.4236","37.68M","-1.15%"
"07/21/2025","0.4484","0.4479","0.4584","0.4403","32.25M","0.00%"
"07/20/2025","0.4485","0.4353","0.4527","0.4305","31.80M","3.11%"
"07/19/2025","0.4349","0.4155","0.4392","0.4073","33.88M","4.59%"
"07/18/2025","0.4158","0.4105","0.4340","0.4085","38.96M","1.26%"
"07/17/2025","0.4107","0.4050","0.4143","0.3942","32.91M","1.48%"
"07/16/2025","0.4047","0.4016","0.4127","0.3934","34.33M","0.84%"
